game_date,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,season,opponent,home_away
2013-10-30,W,24,4,10,0.4,2,5,0.4,0,0,0.0,0,4,4,6,1,0,1,4,10,28,2013-14,LAL,Home
2013-10-31,L,38,14,23,0.609,9,14,0.643,1,1,1.0,0,3,3,9,0,0,11,3,38,-8,2013-14,LAC,Away
2013-11-02,W,33,8,13,0.615,5,8,0.625,1,1,1.0,0,1,1,12,1,0,7,4,22,18,2013-14,SAC,Home
2013-11-04,W,29,7,16,0.438,2,9,0.222,2,2,1.0,3,7,10,12,5,1,2,0,18,34,2013-14,PHI,Away
2013-11-06,W,24,2,8,0.25,0,3,0.0,1,2,0.5,0,1,1,7,1,0,1,1,5,3,2013-14,MIN,Away
2013-11-09,L,34,7,18,0.389,4,10,0.4,4,4,1.0,1,1,2,5,3,0,3,1,22,-9,2013-14,MEM,Away
2013-11-12,W,29,7,10,0.7,2,4,0.5,9,9,1.0,1,1,2,8,1,0,2,4,25,20,2013-14,DET,Home
2013-11-14,W,43,8,22,0.364,4,8,0.5,2,3,0.667,0,5,5,9,1,0,2,4,22,-4,2013-14,OKC,Home
2013-11-16,W,39,7,20,0.35,0,5,0.0,1,2,0.5,0,3,3,11,1,0,0,1,15,18,2013-14,UTA,Home
2013-11-18,W,33,7,15,0.467,4,7,0.571,4,4,1.0,2,4,6,8,3,0,5,4,22,22,2013-14,UTA,Away
2013-11-23,L,37,8,21,0.381,2,9,0.222,4,5,0.8,0,3,3,11,1,0,5,1,22,-6,2013-14,POR,Home
2013-11-26,W,42,7,20,0.35,2,5,0.4,0,0,0.0,1,7,8,9,3,1,2,2,16,-2,2013-14,NOP,Away
2013-11-27,L,42,9,19,0.474,6,10,0.6,5,5,1.0,0,4,4,8,1,0,6,3,29,-3,2013-14,DAL,Away
2013-11-29,L,45,13,26,0.5,4,10,0.4,2,3,0.667,2,9,11,5,0,0,3,4,32,7,2013-14,OKC,Away
2013-12-01,W,40,14,24,0.583,5,8,0.625,3,3,1.0,0,2,2,10,3,1,7,1,36,1,2013-14,SAC,Away
2013-12-03,W,43,8,15,0.533,3,7,0.429,8,10,0.8,0,3,3,10,5,1,3,1,27,16,2013-14,TOR,Home
2013-12-06,L,32,5,14,0.357,1,5,0.2,11,11,1.0,0,1,1,5,3,0,8,4,22,-12,2013-14,HOU,Away
2013-12-07,W,45,7,16,0.438,2,7,0.286,6,7,0.857,1,5,6,15,0,1,1,4,22,21,2013-14,MEM,Away
2013-12-09,L,46,14,32,0.438,5,16,0.313,10,12,0.833,1,5,6,9,0,2,4,4,43,3,2013-14,CHA,Away
2013-12-11,W,44,13,25,0.52,6,11,0.545,1,1,1.0,0,4,4,10,3,0,8,3,33,5,2013-14,DAL,Home
2013-12-13,L,39,5,12,0.417,1,5,0.2,9,11,0.818,0,2,2,9,0,0,6,6,20,-18,2013-14,HOU,Home
2013-12-15,L,42,8,17,0.471,4,7,0.571,10,11,0.909,0,6,6,7,3,0,6,2,30,-4,2013-14,PHX,Away
2013-12-17,W,33,11,19,0.579,2,7,0.286,4,4,1.0,1,3,4,11,3,0,3,3,28,22,2013-14,NOP,Home
2013-12-19,L,40,12,28,0.429,6,16,0.375,0,0,0.0,0,2,2,15,4,0,5,1,30,-5,2013-14,SAS,Home
2013-12-21,W,33,5,15,0.333,4,9,0.444,4,4,1.0,1,5,6,10,3,0,1,2,18,26,2013-14,LAL,Home
2013-12-23,W,35,5,14,0.357,2,3,0.667,2,4,0.5,0,3,3,7,2,1,2,4,14,8,2013-14,DEN,Away
2013-12-25,W,42,5,17,0.294,2,6,0.333,3,3,1.0,1,5,6,11,1,0,2,1,15,8,2013-14,LAC,Home
2013-12-27,W,34,5,17,0.294,1,6,0.167,3,5,0.6,3,10,13,16,1,0,7,3,14,27,2013-14,PHX,Home
2013-12-29,W,48,10,23,0.435,5,10,0.5,4,5,0.8,0,9,9,11,2,1,5,3,29,2,2013-14,CLE,Away
2013-12-31,W,30,4,10,0.4,1,5,0.2,0,0,0.0,0,5,5,8,0,0,6,1,9,21,2013-14,ORL,Away
