game_date,season,klay_played,draymond_played,durant_played,key_teammates_missing
2013-10-30,2013-14,1,1,0,1
2013-10-31,2013-14,1,1,0,1
2013-11-02,2013-14,1,1,0,1
2013-11-04,2013-14,1,1,0,1
2013-11-06,2013-14,1,1,0,1
2013-11-09,2013-14,1,1,0,1
2013-11-12,2013-14,1,1,0,1
2013-11-14,2013-14,1,1,0,1
2013-11-16,2013-14,1,1,0,1
2013-11-18,2013-14,1,1,0,1
2013-11-23,2013-14,1,1,0,1
2013-11-26,2013-14,1,1,0,1
2013-11-27,2013-14,1,1,0,1
2013-11-29,2013-14,1,1,0,1
2013-12-01,2013-14,1,1,0,1
2013-12-03,2013-14,1,1,0,1
2013-12-06,2013-14,1,1,0,1
2013-12-07,2013-14,1,1,0,1
2013-12-09,2013-14,1,1,0,1
2013-12-11,2013-14,1,1,0,1
2013-12-13,2013-14,1,1,0,1
2013-12-15,2013-14,1,1,0,1
2013-12-17,2013-14,1,1,0,1
2013-12-19,2013-14,1,1,0,1
2013-12-21,2013-14,1,1,0,1
2013-12-23,2013-14,1,1,0,1
2013-12-25,2013-14,1,1,0,1
2013-12-27,2013-14,1,1,0,1
2013-12-29,2013-14,1,1,0,1
2013-12-31,2013-14,1,1,0,1
2014-01-02,2013-14,1,1,0,1
2014-01-03,2013-14,1,1,0,1
2014-01-05,2013-14,1,1,0,1
2014-01-07,2013-14,1,1,0,1
2014-01-08,2013-14,1,1,0,1
2014-01-10,2013-14,1,1,0,1
2014-01-15,2013-14,1,1,0,1
2014-01-17,2013-14,1,1,0,1
2014-01-18,2013-14,1,1,0,1
2014-01-20,2013-14,1,1,0,1
2014-01-24,2013-14,1,1,0,1
2014-01-26,2013-14,1,1,0,1
2014-01-28,2013-14,1,1,0,1
2014-01-30,2013-14,1,1,0,1
2014-01-31,2013-14,1,1,0,1
2014-02-04,2013-14,1,1,0,1
2014-02-06,2013-14,1,1,0,1
2014-02-08,2013-14,1,1,0,1
2014-02-10,2013-14,1,1,0,1
2014-02-12,2013-14,1,1,0,1
2014-02-19,2013-14,1,1,0,1
2014-02-20,2013-14,1,1,0,1
2014-02-22,2013-14,1,1,0,1
2014-02-24,2013-14,1,1,0,1
2014-02-26,2013-14,1,1,0,1
2014-02-28,2013-14,1,1,0,1
2014-03-02,2013-14,1,1,0,1
2014-03-04,2013-14,1,1,0,1
2014-03-05,2013-14,1,1,0,1
2014-03-07,2013-14,1,1,0,1
2014-03-09,2013-14,1,1,0,1
2014-03-11,2013-14,1,1,0,1
2014-03-12,2013-14,1,1,0,1
2014-03-14,2013-14,0,1,0,2
2014-03-16,2013-14,1,1,0,1
2014-03-18,2013-14,1,1,0,1
2014-03-20,2013-14,1,1,0,1
2014-03-22,2013-14,1,1,0,1
2014-03-28,2013-14,1,1,0,1
2014-03-30,2013-14,1,1,0,1
2014-04-01,2013-14,1,1,0,1
2014-04-02,2013-14,1,1,0,1
2014-04-04,2013-14,1,1,0,1
2014-04-06,2013-14,1,1,0,1
2014-04-10,2013-14,1,1,0,1
2014-04-11,2013-14,1,1,0,1
2014-04-13,2013-14,1,1,0,1
2014-04-14,2013-14,1,1,0,1
2014-10-29,2014-15,1,1,0,1
2014-11-01,2014-15,1,1,0,1
2014-11-02,2014-15,1,1,0,1
2014-11-05,2014-15,1,1,0,1
2014-11-08,2014-15,1,1,0,1
2014-11-09,2014-15,0,1,0,2
2014-11-11,2014-15,1,1,0,1
2014-11-13,2014-15,1,1,0,1
2014-11-15,2014-15,1,1,0,1
2014-11-16,2014-15,1,1,0,1
2014-11-21,2014-15,1,1,0,1
2014-11-23,2014-15,1,1,0,1
2014-11-25,2014-15,1,1,0,1
2014-11-26,2014-15,1,1,0,1
2014-11-28,2014-15,1,1,0,1
2014-11-30,2014-15,1,1,0,1
2014-12-02,2014-15,1,1,0,1
2014-12-04,2014-15,1,1,0,1
